> Seed: 66666
> device: cuda:1
> Loading DataSet from data/ny2016_0101to0331/
> Total Hours: 2184, starting from 1
> Unify FB Graphs: False, Mix FB Graphs: False
> Training batches: 53, Validation batches: 6
> Initializing the Training Model: AR, Train type = normal
> Model Structure:
AR(
  (linear_D): Linear(in_features=7, out_features=1, bias=True)
  (linear_G): Linear(in_features=7, out_features=1, bias=True)
)
> Constructing the Optimizer: ADAM
> Using SmoothL1Loss as the Loss Function.
> Model sent to cuda:1

learning_rate = 0.01, epochs = 200, num_workers = 20
eval_freq = 5, batch_size = 32, optimizer = ADAM

Start Training!
------------------------------------------------------------------------
Training Round 1: loss = 16.689848, time_cost = 62.6347 sec (0.0373 sec per sample), RMSE-0 = 79.5886, MAPE-0 = 0.7915, MAE-0 = 15.3170
Training Round 2: loss = 5.793662, time_cost = 59.7948 sec (0.0356 sec per sample), RMSE-0 = 47.3467, MAPE-0 = 0.5400, MAE-0 = 9.2710
Training Round 3: loss = 4.796678, time_cost = 57.6328 sec (0.0343 sec per sample), RMSE-0 = 35.1320, MAPE-0 = 0.4594, MAE-0 = 7.0633
Training Round 4: loss = 4.429648, time_cost = 55.2433 sec (0.0329 sec per sample), RMSE-0 = 30.3907, MAPE-0 = 0.4407, MAE-0 = 6.2505
Training Round 5: loss = 4.131110, time_cost = 57.0838 sec (0.0340 sec per sample), RMSE-0 = 28.6261, MAPE-0 = 0.4385, MAE-0 = 5.9826
!!! Validation : loss = 4.638418, RMSE-0 = 28.6891, MAPE-0 = 0.4604, MAE-0 = 5.9690
Training Round 6: loss = 3.917182, time_cost = 53.8121 sec (0.0321 sec per sample), RMSE-0 = 27.9623, MAPE-0 = 0.4394, MAE-0 = 5.8934
Training Round 7: loss = 3.710199, time_cost = 60.3253 sec (0.0359 sec per sample), RMSE-0 = 27.4692, MAPE-0 = 0.4390, MAE-0 = 5.8159
Training Round 8: loss = 3.586392, time_cost = 56.3694 sec (0.0336 sec per sample), RMSE-0 = 27.3939, MAPE-0 = 0.4405, MAE-0 = 5.8232
Training Round 9: loss = 3.531328, time_cost = 55.5789 sec (0.0331 sec per sample), RMSE-0 = 27.4320, MAPE-0 = 0.4416, MAE-0 = 5.8193
Training Round 10: loss = 3.426769, time_cost = 59.3539 sec (0.0354 sec per sample), RMSE-0 = 27.3078, MAPE-0 = 0.4408, MAE-0 = 5.7989
!!! Validation : loss = 3.989315, RMSE-0 = 27.8218, MAPE-0 = 0.4609, MAE-0 = 5.8433
Training Round 11: loss = 3.403780, time_cost = 62.4773 sec (0.0372 sec per sample), RMSE-0 = 27.1947, MAPE-0 = 0.4406, MAE-0 = 5.7884
Training Round 12: loss = 3.399824, time_cost = 60.2149 sec (0.0359 sec per sample), RMSE-0 = 27.4419, MAPE-0 = 0.4421, MAE-0 = 5.8383
Training Round 13: loss = 3.328598, time_cost = 56.9754 sec (0.0339 sec per sample), RMSE-0 = 27.1924, MAPE-0 = 0.4406, MAE-0 = 5.7861
Training Round 14: loss = 3.292606, time_cost = 55.7055 sec (0.0332 sec per sample), RMSE-0 = 27.1057, MAPE-0 = 0.4403, MAE-0 = 5.7658
Training Round 15: loss = 3.302337, time_cost = 59.7304 sec (0.0356 sec per sample), RMSE-0 = 27.1860, MAPE-0 = 0.4400, MAE-0 = 5.7811
!!! Validation : loss = 3.850461, RMSE-0 = 27.8432, MAPE-0 = 0.4598, MAE-0 = 5.8193
Model: model_save/20220402_18_22_14.pth has been saved since it achieves smaller loss.
Training Round 16: loss = 3.292605, time_cost = 58.3504 sec (0.0348 sec per sample), RMSE-0 = 27.1689, MAPE-0 = 0.4404, MAE-0 = 5.7760
Training Round 17: loss = 3.322366, time_cost = 58.6622 sec (0.0349 sec per sample), RMSE-0 = 27.3883, MAPE-0 = 0.4415, MAE-0 = 5.8171
Training Round 18: loss = 3.268587, time_cost = 56.3470 sec (0.0336 sec per sample), RMSE-0 = 27.1693, MAPE-0 = 0.4416, MAE-0 = 5.7850
Training Round 19: loss = 3.245400, time_cost = 57.3930 sec (0.0342 sec per sample), RMSE-0 = 27.0718, MAPE-0 = 0.4398, MAE-0 = 5.7673
Training Round 20: loss = 3.230572, time_cost = 56.6955 sec (0.0338 sec per sample), RMSE-0 = 27.3586, MAPE-0 = 0.4401, MAE-0 = 5.8041
!!! Validation : loss = 3.850632, RMSE-0 = 27.8265, MAPE-0 = 0.4618, MAE-0 = 5.8397
Training Round 21: loss = 3.253842, time_cost = 62.4127 sec (0.0372 sec per sample), RMSE-0 = 27.2476, MAPE-0 = 0.4403, MAE-0 = 5.7912
Training Round 22: loss = 3.222609, time_cost = 60.0584 sec (0.0358 sec per sample), RMSE-0 = 27.1738, MAPE-0 = 0.4410, MAE-0 = 5.7799
Training Round 23: loss = 3.215484, time_cost = 62.1577 sec (0.0370 sec per sample), RMSE-0 = 27.3991, MAPE-0 = 0.4407, MAE-0 = 5.8147
Training Round 24: loss = 3.226768, time_cost = 58.1446 sec (0.0346 sec per sample), RMSE-0 = 27.2144, MAPE-0 = 0.4411, MAE-0 = 5.7889
Training Round 25: loss = 3.211006, time_cost = 58.2107 sec (0.0347 sec per sample), RMSE-0 = 27.3343, MAPE-0 = 0.4415, MAE-0 = 5.8126
!!! Validation : loss = 3.770797, RMSE-0 = 28.1240, MAPE-0 = 0.4563, MAE-0 = 5.8392
Model: model_save/20220402_18_22_14.pth has been saved since it achieves smaller loss.
Training Round 26: loss = 3.194727, time_cost = 61.4582 sec (0.0366 sec per sample), RMSE-0 = 27.3167, MAPE-0 = 0.4409, MAE-0 = 5.8058
Training Round 27: loss = 3.184933, time_cost = 61.0127 sec (0.0363 sec per sample), RMSE-0 = 27.3211, MAPE-0 = 0.4415, MAE-0 = 5.8082
Training Round 28: loss = 3.190482, time_cost = 57.6333 sec (0.0343 sec per sample), RMSE-0 = 27.4250, MAPE-0 = 0.4411, MAE-0 = 5.8198
Training Round 29: loss = 3.191413, time_cost = 61.5453 sec (0.0367 sec per sample), RMSE-0 = 27.3850, MAPE-0 = 0.4406, MAE-0 = 5.8096
Training Round 30: loss = 3.213533, time_cost = 59.0601 sec (0.0352 sec per sample), RMSE-0 = 27.2096, MAPE-0 = 0.4407, MAE-0 = 5.7878
!!! Validation : loss = 3.794383, RMSE-0 = 28.2538, MAPE-0 = 0.4553, MAE-0 = 5.8574
Training Round 31: loss = 3.201662, time_cost = 58.6032 sec (0.0349 sec per sample), RMSE-0 = 27.2167, MAPE-0 = 0.4404, MAE-0 = 5.7897
Training Round 32: loss = 3.202853, time_cost = 57.9680 sec (0.0345 sec per sample), RMSE-0 = 27.1523, MAPE-0 = 0.4416, MAE-0 = 5.7931
Training Round 33: loss = 3.184027, time_cost = 57.8739 sec (0.0345 sec per sample), RMSE-0 = 27.5082, MAPE-0 = 0.4418, MAE-0 = 5.8371
Training Round 34: loss = 3.169576, time_cost = 61.6376 sec (0.0367 sec per sample), RMSE-0 = 27.1928, MAPE-0 = 0.4413, MAE-0 = 5.7896
Training Round 35: loss = 3.154519, time_cost = 57.1207 sec (0.0340 sec per sample), RMSE-0 = 27.3606, MAPE-0 = 0.4416, MAE-0 = 5.8113
!!! Validation : loss = 3.741906, RMSE-0 = 28.0738, MAPE-0 = 0.4560, MAE-0 = 5.8459
Model: model_save/20220402_18_22_14.pth has been saved since it achieves smaller loss.
Training Round 36: loss = 3.147639, time_cost = 57.8925 sec (0.0345 sec per sample), RMSE-0 = 27.1998, MAPE-0 = 0.4403, MAE-0 = 5.7800
Training Round 37: loss = 3.197631, time_cost = 60.8904 sec (0.0363 sec per sample), RMSE-0 = 27.1917, MAPE-0 = 0.4412, MAE-0 = 5.7899
