> Seed: 66666
> device: cuda:2
> Loading DataSet from data/dc2017_0101to0331/
> Total Hours: 2136, starting from 1
> Unify FB Graphs: False, Mix FB Graphs: False
> Training batches: 51, Validation batches: 6
> Initializing the Training Model: AR, Train type = normal
> Model Structure:
AR(
  (linear_D): Linear(in_features=7, out_features=1, bias=True)
  (linear_G): Linear(in_features=7, out_features=1, bias=True)
)
> Constructing the Optimizer: ADAM
> Using SmoothL1Loss as the Loss Function.
> Model sent to cuda:2

learning_rate = 0.01, epochs = 200, num_workers = 20
eval_freq = 5, batch_size = 32, optimizer = ADAM

Start Training!
------------------------------------------------------------------------
Training Round 1: loss = 8.249062, time_cost = 17.5368 sec (0.0108 sec per sample), RMSE-0 = 21.1308, MAPE-0 = 0.6834, MAE-0 = 5.7087
Training Round 2: loss = 2.826642, time_cost = 16.4329 sec (0.0101 sec per sample), RMSE-0 = 12.0175, MAPE-0 = 0.5291, MAE-0 = 3.7254
Training Round 3: loss = 2.273764, time_cost = 17.3019 sec (0.0106 sec per sample), RMSE-0 = 9.3574, MAPE-0 = 0.4583, MAE-0 = 3.0470
Training Round 4: loss = 2.139124, time_cost = 15.7736 sec (0.0097 sec per sample), RMSE-0 = 8.1444, MAPE-0 = 0.4413, MAE-0 = 2.7930
Training Round 5: loss = 2.037055, time_cost = 17.4644 sec (0.0107 sec per sample), RMSE-0 = 7.7030, MAPE-0 = 0.4416, MAE-0 = 2.7167
!!! Validation : loss = 2.502536, RMSE-0 = 7.7799, MAPE-0 = 0.4385, MAE-0 = 2.7064
Training Round 6: loss = 1.949471, time_cost = 16.8688 sec (0.0103 sec per sample), RMSE-0 = 7.4615, MAPE-0 = 0.4443, MAE-0 = 2.6878
Training Round 7: loss = 1.887409, time_cost = 16.8868 sec (0.0104 sec per sample), RMSE-0 = 7.3879, MAPE-0 = 0.4458, MAE-0 = 2.6794
Training Round 8: loss = 1.846808, time_cost = 16.3240 sec (0.0100 sec per sample), RMSE-0 = 7.3471, MAPE-0 = 0.4475, MAE-0 = 2.6795
Training Round 9: loss = 1.820140, time_cost = 16.0187 sec (0.0098 sec per sample), RMSE-0 = 7.3346, MAPE-0 = 0.4471, MAE-0 = 2.6751
Training Round 10: loss = 1.809194, time_cost = 17.1107 sec (0.0105 sec per sample), RMSE-0 = 7.3229, MAPE-0 = 0.4470, MAE-0 = 2.6730
!!! Validation : loss = 2.281566, RMSE-0 = 7.5270, MAPE-0 = 0.4434, MAE-0 = 2.6835
Training Round 11: loss = 1.793076, time_cost = 16.0101 sec (0.0098 sec per sample), RMSE-0 = 7.2887, MAPE-0 = 0.4481, MAE-0 = 2.6711
Training Round 12: loss = 1.784906, time_cost = 16.6190 sec (0.0102 sec per sample), RMSE-0 = 7.3039, MAPE-0 = 0.4466, MAE-0 = 2.6662
Training Round 13: loss = 1.781256, time_cost = 16.9262 sec (0.0104 sec per sample), RMSE-0 = 7.2991, MAPE-0 = 0.4474, MAE-0 = 2.6697
Training Round 14: loss = 1.771309, time_cost = 16.9286 sec (0.0104 sec per sample), RMSE-0 = 7.3221, MAPE-0 = 0.4477, MAE-0 = 2.6745
Training Round 15: loss = 1.773603, time_cost = 17.3454 sec (0.0106 sec per sample), RMSE-0 = 7.2953, MAPE-0 = 0.4479, MAE-0 = 2.6710
!!! Validation : loss = 2.165731, RMSE-0 = 7.5328, MAPE-0 = 0.4447, MAE-0 = 2.6888
Model: model_save/20220330_17_54_51.pth has been saved since it achieves smaller loss.
Training Round 16: loss = 1.773557, time_cost = 16.4271 sec (0.0101 sec per sample), RMSE-0 = 7.3002, MAPE-0 = 0.4478, MAE-0 = 2.6723
Training Round 17: loss = 1.772432, time_cost = 16.0786 sec (0.0099 sec per sample), RMSE-0 = 7.3088, MAPE-0 = 0.4472, MAE-0 = 2.6716
Training Round 18: loss = 1.771689, time_cost = 17.0220 sec (0.0104 sec per sample), RMSE-0 = 7.3131, MAPE-0 = 0.4482, MAE-0 = 2.6735
Training Round 19: loss = 1.773874, time_cost = 15.8546 sec (0.0097 sec per sample), RMSE-0 = 7.2808, MAPE-0 = 0.4487, MAE-0 = 2.6708
Training Round 20: loss = 1.774721, time_cost = 16.2693 sec (0.0100 sec per sample), RMSE-0 = 7.3189, MAPE-0 = 0.4473, MAE-0 = 2.6717
!!! Validation : loss = 2.205136, RMSE-0 = 7.5893, MAPE-0 = 0.4439, MAE-0 = 2.6982
Training Round 21: loss = 1.763612, time_cost = 17.0362 sec (0.0104 sec per sample), RMSE-0 = 7.2899, MAPE-0 = 0.4480, MAE-0 = 2.6695
Training Round 22: loss = 1.775546, time_cost = 15.5365 sec (0.0095 sec per sample), RMSE-0 = 7.3316, MAPE-0 = 0.4475, MAE-0 = 2.6792
Training Round 23: loss = 1.763811, time_cost = 16.1277 sec (0.0099 sec per sample), RMSE-0 = 7.2849, MAPE-0 = 0.4473, MAE-0 = 2.6674
Training Round 24: loss = 1.765607, time_cost = 15.4927 sec (0.0095 sec per sample), RMSE-0 = 7.2949, MAPE-0 = 0.4475, MAE-0 = 2.6706
Training Round 25: loss = 1.787190, time_cost = 16.1937 sec (0.0099 sec per sample), RMSE-0 = 7.3309, MAPE-0 = 0.4474, MAE-0 = 2.6745
!!! Validation : loss = 2.285524, RMSE-0 = 7.5921, MAPE-0 = 0.4412, MAE-0 = 2.6861
Training Round 26: loss = 1.798258, time_cost = 17.5886 sec (0.0108 sec per sample), RMSE-0 = 7.3205, MAPE-0 = 0.4484, MAE-0 = 2.6800
Training Round 27: loss = 1.769672, time_cost = 16.7467 sec (0.0103 sec per sample), RMSE-0 = 7.2793, MAPE-0 = 0.4488, MAE-0 = 2.6724
Training Round 28: loss = 1.769907, time_cost = 15.9081 sec (0.0098 sec per sample), RMSE-0 = 7.3263, MAPE-0 = 0.4467, MAE-0 = 2.6715
Training Round 29: loss = 1.776347, time_cost = 16.1474 sec (0.0099 sec per sample), RMSE-0 = 7.2879, MAPE-0 = 0.4480, MAE-0 = 2.6692
Training Round 30: loss = 1.764678, time_cost = 16.5384 sec (0.0101 sec per sample), RMSE-0 = 7.3135, MAPE-0 = 0.4464, MAE-0 = 2.6675
!!! Validation : loss = 2.229022, RMSE-0 = 7.4639, MAPE-0 = 0.4472, MAE-0 = 2.6846
Training Round 31: loss = 1.764981, time_cost = 17.5012 sec (0.0107 sec per sample), RMSE-0 = 7.2967, MAPE-0 = 0.4484, MAE-0 = 2.6729
Training Round 32: loss = 1.795982, time_cost = 16.8473 sec (0.0103 sec per sample), RMSE-0 = 7.3212, MAPE-0 = 0.4477, MAE-0 = 2.6748
Training Round 33: loss = 1.774524, time_cost = 19.3774 sec (0.0119 sec per sample), RMSE-0 = 7.2930, MAPE-0 = 0.4472, MAE-0 = 2.6674
Training Round 34: loss = 1.798784, time_cost = 16.8994 sec (0.0104 sec per sample), RMSE-0 = 7.3208, MAPE-0 = 0.4483, MAE-0 = 2.6783
Training Round 35: loss = 1.768282, time_cost = 16.6776 sec (0.0102 sec per sample), RMSE-0 = 7.3168, MAPE-0 = 0.4466, MAE-0 = 2.6693
!!! Validation : loss = 2.316370, RMSE-0 = 7.5682, MAPE-0 = 0.4428, MAE-0 = 2.6865
Training Round 36: loss = 1.769994, time_cost = 18.4425 sec (0.0113 sec per sample), RMSE-0 = 7.2820, MAPE-0 = 0.4484, MAE-0 = 2.6716
Training Round 37: loss = 1.778871, time_cost = 17.2144 sec (0.0106 sec per sample), RMSE-0 = 7.2998, MAPE-0 = 0.4476, MAE-0 = 2.6710
Training Round 38: loss = 1.762405, time_cost = 16.9973 sec (0.0104 sec per sample), RMSE-0 = 7.2951, MAPE-0 = 0.4467, MAE-0 = 2.6665
Training Round 39: loss = 1.773396, time_cost = 17.4204 sec (0.0107 sec per sample), RMSE-0 = 7.3080, MAPE-0 = 0.4473, MAE-0 = 2.6689
Training Round 40: loss = 1.782303, time_cost = 15.8265 sec (0.0097 sec per sample), RMSE-0 = 7.2938, MAPE-0 = 0.4481, MAE-0 = 2.6718
!!! Validation : loss = 2.221254, RMSE-0 = 7.5698, MAPE-0 = 0.4407, MAE-0 = 2.6802
Training Round 41: loss = 1.767085, time_cost = 16.2245 sec (0.0099 sec per sample), RMSE-0 = 7.3014, MAPE-0 = 0.4471, MAE-0 = 2.6693
Training Round 42: loss = 1.767775, time_cost = 16.1529 sec (0.0099 sec per sample), RMSE-0 = 7.3009, MAPE-0 = 0.4471, MAE-0 = 2.6693
Training Round 43: loss = 1.763548, time_cost = 16.5977 sec (0.0102 sec per sample), RMSE-0 = 7.2732, MAPE-0 = 0.4481, MAE-0 = 2.6685
Training Round 44: loss = 1.782799, time_cost = 16.4156 sec (0.0101 sec per sample), RMSE-0 = 7.2993, MAPE-0 = 0.4476, MAE-0 = 2.6704
Training Round 45: loss = 1.765781, time_cost = 17.8033 sec (0.0109 sec per sample), RMSE-0 = 7.2682, MAPE-0 = 0.4475, MAE-0 = 2.6665
!!! Validation : loss = 2.179335, RMSE-0 = 7.5207, MAPE-0 = 0.4441, MAE-0 = 2.6842
Training Round 46: loss = 1.766306, time_cost = 16.3795 sec (0.0100 sec per sample), RMSE-0 = 7.2764, MAPE-0 = 0.4481, MAE-0 = 2.6685
Training Round 47: loss = 1.771774, time_cost = 17.9174 sec (0.0110 sec per sample), RMSE-0 = 7.2967, MAPE-0 = 0.4471, MAE-0 = 2.6685
